DocumentName,Number_of_caracter,Area_of_letter,Area_of_word,Proportion_of_area_letter,Proportion_of_area_word
2-0.jpeg,3049,4880487,6045454,0.20879088770053475,0.25862904812834225
2-1.jpeg,3456,3370289,4919885,0.14418348663101604,0.21047636363636363
2-2.jpeg,1137,2135758,2615671,0.09136932620320856,0.11190036363636363
2-3.jpeg,2339,4014265,4978865,0.17173326203208555,0.21299957219251336
2-4.jpeg,1647,3243688,3944234,0.1387674010695187,0.1687372834224599
2-5.jpeg,2931,2119718,2794116,0.09068312299465241,0.1195343743315508
2-6.jpeg,1581,1940356,2474914,0.08300988235294118,0.10587867379679144
data_detection_images_1-0.jpeg,2476,1880402,2167849,0.08044500534759358,0.09274220320855615
data_detection_images_1-1.jpeg,2638,3090862,2664622,0.13222939037433154,0.11399452406417113
data_detection_images_1-10.jpeg,226,6998887,7353856,0.2994176256684492,0.3146034652406417
data_detection_images_1-11.jpeg,1630,2132961,1936528,0.09124966844919787,0.08284611764705882
data_detection_images_1-12.jpeg,3423,3521464,3173819,0.15065086631016042,0.13577835294117646
data_detection_images_1-13.jpeg,1527,1322840,1620885,0.05659208556149733,0.06934267379679145
data_detection_images_1-14.jpeg,2826,13071728,12574166,0.5592183101604278,0.5379322352941176
data_detection_images_1-15.jpeg,1565,5965438,7632431,0.25520590374331553,0.32652111229946523
data_detection_images_1-16.jpeg,2185,4232362,4755044,0.18106361497326204,0.2034243422459893
data_detection_images_1-17.jpeg,1033,2187855,2316259,0.09359807486631017,0.09909129411764706
data_detection_images_1-18.jpeg,3930,13914134,13189513,0.5952570695187166,0.5642572406417112
data_detection_images_1-19.jpeg,4413,2243836,3233560,0.09599298395721925,0.13833411764705883
data_detection_images_1-2.jpeg,2426,2193070,1983313,0.09382117647058824,0.08484761497326203
data_detection_images_1-20.jpeg,2527,6200408,7468317,0.2652580962566845,0.319500192513369
data_detection_images_1-21.jpeg,4017,1983094,2686898,0.08483824598930481,0.11494750802139038
data_detection_images_1-22.jpeg,365,0,524641,0.0,0.02244453475935829
data_detection_images_1-23.jpeg,1053,964100,1266639,0.041244919786096255,0.05418776470588235
